network,Rinf,R0,Is,Amax,tmax,MRinf,MR0,MAmax,Mtmax,L1DBRMt_s,absumS,TM_p,minTM_i,av_TM_i,Ext_half,RM_p,L1DBRM_p,maxRM_i,avRM_i,avL1DBRM_i,maxSensM_i,Robst,DBRobst,L1DBRobst,minRobst,maxDBRost,minDBRobst,maxL1DBRobst,N,iniN,Nb,Napex,Ncan,Btot,B_IPR,a_i,a_j,h_i,h_j
Niche933653832,0.308415,-0.266474,0.279558,1.0,0.0,0.331599,-0.8861889999999999,1.0,0.0,6.84495,10.2426,11.901,13.6,59.84,3.0,0.0676787,0.0676787,0.000550561,0.00042352300000000003,0.00064809,0.00167339,1.0,0.198678,0.248817,1.0,0.248475,-0.00050504,0.251336,5,6,4,1,1,3.9428099999999997,0.221728,0.762301,0.356065,-0.48765299999999995,0.538121
Niche966205759,0.11026500000000004,0.494588,0.0169144,2.65428,4.1,0.134416,-0.845274,1.0,0.0,22.3899,51.3203,7.801,6.4,26.96,2.4,0.0768513,0.08276950000000001,0.000800119,0.00048637699999999997,0.0010538,0.00163317,0.85,0.21680300000000002,0.347973,0.5,0.49939700000000004,0.00427945,0.546104,5,6,2,2,2,2.0006,0.478599,0.62375,0.374229,-0.635382,0.468425
Niche187042432,0.042942900000000006,0.15377000000000002,0.0315295,1.6062299999999998,1.9,0.0451106,-0.202551,1.0,0.0,11.5848,16.2331,13.600999999999999,15.7,46.0,2.7,-0.051359800000000004,0.14616600000000002,-0.0014347000000000001,-0.000675425,0.00148673,0.00367243,0.95,-0.152981,0.707799,0.75,0.333332,-0.930984,1.64314,5,5,3,2,0,1.23567,0.35291500000000003,0.710296,0.37654899999999997,-0.545497,0.492612
Niche885077739,0.072088,0.43914,0.024193,2.2821,2.6,0.07939,-0.731175,1.0,0.0,42.3038,48.5412,12.501,11.3,44.64,2.8,0.000933885,0.11556300000000001,-0.00214145,-0.000191709,0.00104632,0.00331466,0.95,0.11865999999999999,0.516059,0.75,0.47426899999999994,-0.148895,1.46386,5,5,3,1,0,2.06975,0.519622,0.79628,0.43691800000000003,-0.48901999999999995,0.451744
Niche551831168,0.0487417,0.431666,0.014262899999999997,3.01052,4.0,0.0586788,-0.22695,1.0,0.0,65.2153,73.2722,8.801,2.4,26.36,2.1,0.0283495,0.121527,0.000926365,7.14287e-05,0.00111434,0.00295483,0.85,0.232834,0.31045300000000003,0.5,0.600233,0.000411028,0.600233,5,6,2,2,1,1.67172,0.612621,0.709046,0.410444,-0.525744,0.45805
Niche269897615,0.0482366,0.14507899999999999,0.036007300000000006,1.6143100000000001,1.9,0.0504413,-0.189774,1.0,0.0,11.4635,16.1522,14.401,16.8,46.48,2.5,-0.0475208,0.143583,-0.00274351,-0.000638206,0.00147164,0.00362112,0.95,-0.166428,0.721182,0.75,0.33059099999999997,-0.969089,1.68305,5,5,3,2,0,1.2058,0.35499200000000003,0.741749,0.413017,-0.6665399999999999,0.5322720000000001
Niche330799066,0.204049,0.526438,0.0234204,2.3261,2.8,0.21386100000000002,-0.480079,1.0,0.0,28.5792,48.4247,11.901,15.0,32.7,2.5,0.0745195,0.0745195,0.00192006,0.000417551,0.00241383,0.00396978,0.9,0.303117,0.481019,0.75,0.5553239999999999,-0.0453757,0.756676,5,6,2,1,1,1.8324799999999999,0.398872,0.7291310000000001,0.45352,-0.60435,0.516556
Niche773833993,0.047231800000000004,0.552856,0.0184653,2.8261,4.2,0.057277999999999996,-0.20388499999999998,1.01042,3.0,16.7786,28.8962,11.300999999999998,15.9,31.58,1.8,0.0322847,0.115972,0.00160006,-1.56527e-05,0.00207257,0.00511465,0.8,0.16736900000000002,0.562244,0.5,0.684704,-0.45098,0.79206,5,5,2,2,1,1.2843200000000001,0.5287229999999999,0.727666,0.40979499999999996,-0.638306,0.519575
Niche535828205,0.284451,0.44286499999999995,0.030036700000000006,1.8594,2.5,0.285222,-0.758781,1.0,0.0,19.7467,29.2411,11.700999999999999,14.8,45.22,2.7,0.0691179,0.0691179,0.0010468,0.00042923,0.00115042,0.0022351999999999997,0.95,0.22718899999999997,0.315934,0.75,0.34258299999999997,-0.0295714,0.41199399999999997,5,6,3,1,1,2.8889,0.30650700000000003,0.557227,0.44201899999999994,-0.627473,0.544564
Niche374629602,0.119584,0.511526,0.0206813,2.35391,2.4,0.131322,-0.629258,1.0,0.0,32.0021,52.2872,11.100999999999999,15.4,38.58,2.7,0.0839802,0.08959439999999999,0.000927427,0.000592492,0.00184421,0.00409702,0.85,0.344142,0.541032,0.75,0.5153979999999999,-0.0188223,0.8238200000000001,5,6,2,1,1,1.97131,0.44977,0.65323,0.38175,-0.725529,0.47074799999999994
